candidate,scope,metric,baseline,candidate,delta,correctness,decision
ee_original_range_prune,frozen_frame30_ee_dcd,node_pops,39446956,33111641,-16.0603%,primitive_tests_and_encoding_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_ee_dcd,overlapping_children,55867380,41321853,-26.0358%,primitive_tests_and_encoding_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_ee_ccd,node_pops,41209520,34151180,-17.1279%,primitive_tests_and_encoding_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_ee_ccd,overlapping_children,59672600,43382720,-27.2988%,primitive_tests_and_encoding_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_100_rebuilds,ee_dcd_mean_us,958.857,947.107,-1.23%,dcd_encoded_multiset_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_100_rebuilds,ee_ccd_mean_us,823.547,715.357,-13.14%,ccd_encoded_multiset_exact,keep_opt_in
ee_original_range_prune,frozen_frame30_100_rebuilds,known_bvh_build_ms_excluding_cub,38.185,40.277,+5.48%,dcd_and_ccd_encoded_multisets_exact,accounted_overhead
ee_original_range_prune,frozen_frame30_100_rebuilds,total_cuda_kernel_ms,871.520,865.060,-0.74%,dcd_and_ccd_encoded_multisets_exact,not_default_yet
global_margin_1_25,fold30,temporal_reuse_fraction,0,0.057257,,shadow_only,reject_global_cache
global_margin_1_50,fold30,temporal_reuse_fraction,0,0.158915,,shadow_only,reject_global_cache
global_margin_2_00,fold30,temporal_reuse_fraction,0,0.202721,,shadow_only,reject_global_cache
launch_bounds_lb2,frozen_frame30_merged_100_rebuilds,ee_dcd_mean_us,975.367,958.857,-1.69%,encoded_multiset_exact,retain_existing_merged_default
launch_bounds_lb3,frozen_frame30_merged_100_rebuilds,ee_dcd_mean_us,975.367,991.764,+1.68%,encoded_multiset_exact,reject
launch_bounds_lb2,frozen_frame30_isolated_100_rebuilds,ee_dcd_mean_us,969.693,963.985,-0.59%,encoded_multiset_exact,do_not_default_without_end_to_end_gain
stack_cap_64,initial_profile,ee_dcd_mean_us,1674.652,1687.792,+0.78%,strict_anchor_green,reject
morton14,frozen_frame30_ee_dcd,node_pops,39446956,39406147,-0.1035%,dcd_and_ccd_encoding_exact,reject_precision_only
morton14,frozen_frame30_ee_ccd,node_pops,41209520,41208700,-0.0020%,dcd_and_ccd_encoding_exact,reject_precision_only
ee_sorted_rank_prune,frozen_frame30_ee_dcd,node_pops,39446956,23389292,-40.71%,physical_set_exact_but_encoding_permuted,research_only
vf_body_pair_cache,frozen_frame30_1000_dcd,vf_dcd_plus_replay_ms,3614.698,1105.441,-69.42%,30571_encoded_rows_exact,static_upper_bound_only
vf_body_pair_cache,deterministic_fold30,vf_dcd_node_pops,306741277,95242959,-68.95%,positions_pairs_and_newton_exact,structural_win
vf_body_pair_cache,deterministic_fold30,vf_dcd_path_ms,1252.761,1147.005,-8.44%,positions_pairs_and_newton_exact,keep_opt_in
vf_body_pair_cache,deterministic_fold30,total_cuda_kernel_ms,17335.744,17194.224,-0.82%,positions_pairs_and_newton_exact,not_default
lbvh_refit,frozen_frame30_200dcd_200ccd,total_cuda_kernel_ms,1726.755,1634.149,-5.36%,dcd_and_ccd_encoded_multisets_exact,positive_upper_bound
ploc3_refit128,deterministic_fold30,four_query_families_ms,3445.366,3308.522,-3.97%,positions_pairs_and_newton_exact,positive
ploc3_refit128,deterministic_fold30,total_cuda_kernel_ms,18002.144,16944.391,-5.88%,positions_pairs_and_newton_exact,keep_opt_in_pending_free_gpu_a800
ploc3_refit128,isolated4_frozen_frame30_200dcd_200ccd,total_cuda_kernel_ms,15168.870,14262.041,-5.98%,dcd_and_ccd_encoded_multisets_exact,positive
ploc3_refit128,isolated4_frozen_frame30_200dcd_200ccd,four_query_families_ms,14372.751,13973.022,-2.78%,dcd_and_ccd_encoded_multisets_exact,positive
ploc3_refit128,isolated4_frozen_frame30_200dcd_200ccd,known_bvh_build_ms_excluding_cub,380.123,280.913,-26.10%,dcd_and_ccd_encoded_multisets_exact,positive
ploc3_refit128_plus_vf_bvh8,isolated4_frozen_frame30_200dcd_200ccd,total_cuda_kernel_ms,13726.146,13816.766,+0.66%,dcd_and_ccd_encoded_multisets_exact,reject_stacking
ploc3_refit128_plus_vf_bvh8,isolated4_frozen_frame30_200dcd_200ccd,vf_dcd_query_ms,3266.159,3345.213,+2.42%,dcd_and_ccd_encoded_multisets_exact,reject_stacking
ploc3_refit128_plus_vf_bvh8,isolated4_frozen_frame30_200dcd_200ccd,bvh8_front_ms,0,26.279,+26.279ms,dcd_and_ccd_encoded_multisets_exact,reject_stacking
ploc3_refit128_plus_vf_cache,merged_frozen_frame30_1000dcd,total_cuda_kernel_ms,5262.613,3257.577,-38.10%,dcd_encoded_multiset_exact,structural_win_only
ploc3_refit128_plus_vf_cache,merged_frozen_frame30_1000dcd,vf_path_ms,3202.398,1198.001,-62.59%,dcd_encoded_multiset_exact,structural_win_only
ploc3_refit128_plus_vf_cache,merged_free30_replicas,total_newton,730/734,776/856,increased,baseline_itself_nondeterministic,reject_stacking_order_penalty
ploc3_refit128_plus_ee_cache,merged_frozen_frame30_1000dcd,ee_path_ms,2236.166,3582.424,+60.20%,30832_encoded_rows_exact,reject
ploc3_refit128_plus_ee_cache,merged_frozen_frame30_1000dcd,total_cuda_kernel_ms,5925.296,7284.339,+22.94%,30832_encoded_rows_exact,reject
ploc3_refit128_plus_vf_ee_cache,merged_frozen_frame30_1000dcd,dcd_path_ms,5399.152,4757.572,-11.88%,30832_encoded_rows_exact,structural_win_only
ploc3_refit128_plus_vf_ee_cache,merged_frozen_frame30_1000dcd,total_cuda_kernel_ms,5526.666,4885.925,-11.59%,30832_encoded_rows_exact,structural_win_only
ploc3_refit128_plus_vf_ee_cache,merged_free30_replicas,total_newton,750/812,764/797,inside_baseline_spread,all_finite_no_fixed_workload_speed_claim,opt_in_only
swept_endpoint_cache_audit,merged_free30_margin1_25,vf_ccd_weighted_reuse_fraction,0,0.270959,,endpoint_complete_shadow_only,prototype_filtered_replay
swept_endpoint_cache_audit,merged_free30_margin1_25,ee_ccd_weighted_reuse_fraction,0,0.255961,,endpoint_complete_shadow_only,prototype_filtered_replay
swept_endpoint_cache_audit,merged_free30_margin1_50,vf_ccd_weighted_reuse_fraction,0,0.314526,,endpoint_complete_shadow_only,prototype_filtered_replay
swept_endpoint_cache_audit,merged_free30_margin1_50,ee_ccd_weighted_reuse_fraction,0,0.292860,,endpoint_complete_shadow_only,prototype_filtered_replay
swept_endpoint_cache_audit,merged_free30_margin2_00,vf_ccd_weighted_reuse_fraction,0,0.399914,,endpoint_complete_shadow_only,prototype_filtered_replay
swept_endpoint_cache_audit,merged_free30_margin2_00,ee_ccd_weighted_reuse_fraction,0,0.377121,,endpoint_complete_shadow_only,prototype_filtered_replay
